BARRIO;NOMBRE_BARRIO;hombre;mujer;< 12;12 a 17;18 a 29;30 a 35;36 a 64;>64;habitantes;porcentaje_<12;porcentaje_12 a 17;porcentaje_18 a 29;porcentaje_30 a 35;porcentaje_36 a 64;porcentaje_>64
1;CASCO VIEJO;4.226;4.352;860;373;1.056;787;3.949;1.553;8.578;10;4;12;9;46;18
2;ENSANCHE;3.747;4.553;709;399;919;559;3.501;2.213;8.300;9;5;11;7;42;27
3;LOVAINA;3.600;4.210;685;385;905;457;3.300;2.078;7.810;9;5;12;6;42;27
4;CORONACION;5.765;6.355;1.157;531;1.237;843;4.694;3.658;12.120;10;4;10;7;39;30
5;EL PILAR;4.333;4.625;701;305;828;490;3.047;3.587;8.958;8;3;9;5;34;40
6;GAZALBIDE;1.032;1.183;161;108;212;94;706;934;2.215;7;5;10;4;32;42
7;TXAGORRITXU;3.735;4.286;646;360;733;481;2.795;3.006;8.021;8;4;9;6;35;37
8;SAN MARTIN;5.692;6.366;765;477;1.979;698;5.167;2.972;12.058;6;4;16;6;43;25
9;ZARAMAGA;5.842;6.155;1.009;547;1.131;721;4.306;4.283;11.997;8;5;9;6;36;36
10;ANGLO-VASCO;1.974;2.185;341;163;438;273;1.635;1.309;4.159;8;4;11;7;39;31
11;ARANTZABELA;718;746;115;49;134;91;637;438;1.464;8;3;9;6;44;30
12;SANTIAGO;1.614;1.752;181;105;412;254;1.311;1.103;3.366;5;3;12;8;39;33
13;ARANBIZKARRA;5.227;5.656;821;411;1.244;735;4.317;3.355;10.883;8;4;11;7;40;31
14;ARANA;1.465;1.547;255;134;356;208;1.123;936;3.012;8;4;12;7;37;31
15;DESAMPARADOS;2.807;3.222;446;242;699;376;2.450;1.816;6.029;7;4;12;6;41;30
16;JUDIMENDI;2.635;3.054;468;233;636;435;2.253;1.664;5.689;8;4;11;8;40;29
17;SANTA LUCIA;3.600;3.895;448;282;942;544;3.366;1.913;7.495;6;4;13;7;45;26
18;ADURTZA;2.939;3.075;463;268;735;418;2.458;1.672;6.014;8;4;12;7;41;28
19;SAN CRISTOBAL;2.757;3.045;417;204;648;378;2.163;1.992;5.802;7;4;11;7;37;34
20;MENDIZORROTZA;2.276;2.373;409;299;618;213;1.803;1.307;4.649;9;6;13;5;39;28
21;ARIZNABARRA;3.755;4.065;639;584;1.215;401;3.625;1.356;7.820;8;7;16;5;46;17
22;ALI;467;501;125;69;102;51;426;195;968;13;7;11;5;44;20
23;SANSOMENDI;10.237;10.483;2.571;2.094;2.411;1041;10.400;2.203;20.720;12;10;12;5;50;11
24;ARRIAGA-LAKUA;13.809;13.982;4.289;2.289;2.798;1459;13.959;2.997;27.791;15;8;10;5;50;11
25;ABETXUKO;1.685;1.661;362;178;391;232;1.435;748;3.346;11;5;12;7;43;22
26;ZONA RURAL ESTE;1.012;990;173;118;243;121;893;454;2.002;9;6;12;6;45;23
27;ZONA RURAL NOROESTE;864;737;165;104;172;90;719;351;1.601;10;7;11;6;45;22
28;ZONA RURAL SUROESTE;680;641;151;74;163;49;634;250;1.321;11;6;12;4;48;19
29;ZABALGANA;13.332;12.812;6.195;1.305;1.939;3264;12.770;671;26.144;24;5;7;12;49;3
30;SALBURUA;9.384;9.090;4.176;858;1.552;2727;8.599;562;18.474;23;5;8;15;47;3
31;ARETXABALETA-GARDELEGI;639;606;290;60;86;250;514;45;1.245;23;5;7;20;41;4
